sample_id	modality	index_uri	bytes	md5	sha256
NA11894	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239292/NA11894.final.cram.crai	1392674	754c7144ea9348cee9458aaeed8882bb	db75d41151821a75d4fb06a75f518f887b66f0e77112d412b0f994dd16ea687d
NA11920	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239295/NA11920.final.cram.crai	1364343	1ec23b6b1341c3ae13469ebcdd79a392	3244400912a4a34e6b892c4ad28cfb24625f2729f8632742282d80428b9ad68a
NA12004	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239301/NA12004.final.cram.crai	1393451	d88b4cff43c8dd39d0b49472f89fb6b8	0c4e9db67f3ff9533979d3b58611072cfe74f2d03ea0c9abfccc2929f8d8ce06
NA12044	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239305/NA12044.final.cram.crai	1437647	4b86b95ede94eb3b7bd9039deb932581	1099cfb4e1102f9f6b0438207563adda10f8ae392c40ce36b0dc6975aa562de8
NA12154	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239308/NA12154.final.cram.crai	1336775	39954c5d355bd10fd3b41ed23b0405d5	4df46d5b30637349492203a89d97152fbd03205fa8b135bc0eb030d34f7017fe
NA12234	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239311/NA12234.final.cram.crai	1329338	b3f8b894a36d6908ba7c7c1ac45edd93	1383aad3adb3aa1f317fb4673bfdda885bd40dd776d07f69e376e499d88e5565
NA12489	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239315/NA12489.final.cram.crai	1367840	da653412846a08c63c3c5333474b4326	edd3477e4888c10d220adc5b2ef43029055d5f2b2515f8d09859ae7b1d647bab
NA12751	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239320/NA12751.final.cram.crai	1581641	89f58f53c07611591d8dca1403308b35	9e0ad5aa8fc7e4262cbedefbfcf999f42d211efde0b700fc167b3dfe7f1e691f
NA12763	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239324/NA12763.final.cram.crai	1413118	d9968236efcb4b37b4e502c1e285c0dc	455bc4c8a754ec17d4a5ac1c3848374b144dadff474a7e740b92221feb716423
NA12775	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239482/NA12775.final.cram.crai	1370937	09a0f2814235f99002e71574f7027438	3a3f31ee0e74c54914aaec6db6d5fc2933bf5e670edbeacb0ad843e8fdcf449e
NA12812	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239326/NA12812.final.cram.crai	1478556	1abbbdf1c239186a33c908759c774c89	7d4d17868d580400abef4b69a0f67e111857ea1e5b4d0acf6c6b0e175367fcff
NA18486	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239335/NA18486.final.cram.crai	1303315	79700ed299d8b71c9b089ea12c687545	fb3bfd4e21272706890752f6894c7da79b4c185feedb01914139d53c2b3a705e
NA18488	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239491/NA18488.final.cram.crai	1313924	6c2d312dc256e8669465761117497095	8f8d0ed602f29c26a82e47a6be9c0291d0d95549bc702aedd3169c3d063d24da
NA18489	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239336/NA18489.final.cram.crai	2415941	04b48e8ac10e73270926089a8e5dd5ad	c755172bfe89700e702a285706db3111f2799a7bfef0a70b1171089eb3e57bc9
NA18498	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239337/NA18498.final.cram.crai	1253505	9af7dcfbca87dbc2b8b3240f52822338	eca7c37f38cc6c7f9e8db26a54d16ee581e38b175f831163475c75c6546e7c8b
NA18499	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239338/NA18499.final.cram.crai	1400902	2d04005d5a5fa5454bc34018527c64fc	45fef992a990b0b3930bdea7d44187ca5f2eaa5f11afdf652580029361c94624
NA18501	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239339/NA18501.final.cram.crai	1195175	8bda3478cb0d0cf0cd22d117916dcc08	eed54b862529a3faaedd446a2b7a7608f5a495487397f4d41b848d10c4b35c29
NA18502	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239340/NA18502.final.cram.crai	1290949	036596e51ec803f28c101e301f6590f5	f2835b0fdf2071eb012725113d8eaeec12e004d4bfe01575e312793a4bccee6e
NA18504	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239341/NA18504.final.cram.crai	1249384	a827dcc2649502b9bb4fc6bb3d37fbf4	a98fb51d2bedc2eb7d62560bd392989a074a6c00e180d8795917db4f071c811b
NA18505	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239342/NA18505.final.cram.crai	1542630	889ed79d69db2d3e82cbb3db8002564a	2e0dad8a44b13ac6108b7b269728be353f1bb0a1fe79c92d206ff90a84973f93
NA18507	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239343/NA18507.final.cram.crai	1371095	e3eb25b81dbf0ae166aa9886058615da	03c290b2f9e92e5c7e2328ce46e79d8159092a5ee7b0f821de62bc36f5758e6a
NA18508	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239344/NA18508.final.cram.crai	1915084	426a56b23fc3e4e2e2bde3c449ef06a3	6f04d9ce85e7470eff5c014f4cdf9c03a130809d4a90ebf4c6896a3c173dd548
NA18510	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239345/NA18510.final.cram.crai	1244549	1593cb5a477f601ff26ad7863f06f401	9bcd4e8735f4c5981b856d5081477223144733a02cd310c9fc9093bacd0030b4
NA18511	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239346/NA18511.final.cram.crai	1669381	ec8777c75bda190ac1dc2914c75a555e	f7c39f43a45a53cb2e2d63b4601a63563185e458c83e47fe47b59322d1747294
NA18516	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239347/NA18516.final.cram.crai	1371931	540801fa976af685fba4e1cc990cb563	c183992309115964dad93a0db79f9b10c837b3fd76bb391a5afb716d80f86ce9
NA18517	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239348/NA18517.final.cram.crai	1387778	74a4d09437fa16e95948c7b89b176459	a6354307b4bedcb576cb3786bf7c6f44a0d7c1f65f7f3b26c9e13e5db1bcea89
NA18522	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239351/NA18522.final.cram.crai	1272746	aa0f9ab51752b25c72c2fb0ed871b097	d6a14628ae74f5fe69f3118ceabbb791615fb8e5992d0f791b0f1026696bb702
NA18523	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239352/NA18523.final.cram.crai	1393783	4d65727169949868a7bd7dc26f5d3e2b	20d55e9d8d9561c7c5a45114cf4d6b46c7756333ef9107c577e6fafd920cd35f
NA18526	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239353/NA18526.final.cram.crai	1456179	b333d9d1b41e78c75d670628892cc1e2	6f703b4ea850afe77df577eeabf6ec03ab43ef4cf5d1d2df5e8aaf5955bfba26
NA18530	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239492/NA18530.final.cram.crai	1381048	013dde21735b1cf495b22b2f4256979c	64bc06f8a7545b5976648b0bdb97acb0a3c1a6c11e53fb8040ff627fd96150ae
NA18532	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239354/NA18532.final.cram.crai	1313447	5d7b7df94fa23df683e20833a1057fb5	892d2a83400e0321c6145b1facc9408caa0e67a62318f208b042fd124ef326bc
NA18534	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239493/NA18534.final.cram.crai	1272054	6ea42e5c756ea842d4ac383d2b78831f	a4af050dd8b0e9d70fa1b74a1808b9e15573cf8e8a977d45c9aa628fb4481e83
NA18536	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239494/NA18536.final.cram.crai	1260150	ff417289c7985afa802b4808a433e510	35a80d7a6c2ac2a05be0d1ebdef8eff0966d94d2017066945b28add9a7ca5e56
NA18537	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239355/NA18537.final.cram.crai	1365954	053e763310e7d234f5e35fd793763bb6	df1566081c9ec6154670c1e04de6903a70a27db0b523b83ef7bf97f28827043c
NA18542	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239356/NA18542.final.cram.crai	1378406	ec8daf5f2d8793f43f85880477918f7a	906a18ad67c27027f1ea993d682db1a916522ab9367108eb5ac232d24f1de7f3
NA18543	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239495/NA18543.final.cram.crai	1359080	c53f2077cbe7aa1775ef02bf90d52dc5	230ec786f766f994727c681185053b414959561580459cf1e664396efc4d7c2e
NA18544	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239496/NA18544.final.cram.crai	1336026	5f57d58bf00886234ae1bee52a578124	a054c9385aea1f0777d81d087851ecb3a6ef047b120b7d812681e8ca9f35d794
NA18545	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239357/NA18545.final.cram.crai	1435916	a153e1572def2007cd19381220e53870	69949b97d1c390a8adff91d87b07df45be13980a7ed5aabc633a91be833f52be
NA18561	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239363/NA18561.final.cram.crai	1269562	4805f345953d66b21b9cff4af5d77ad6	299db123be1fb6b10631f8b3323c82929e1a0010b82978a0b6f422c463fcf398
NA18562	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239364/NA18562.final.cram.crai	1505578	a046d9616458cb4d7bf15a68a1fa87b8	0499942dab329cf29a8b4df56d47ca7279e813a11827088149ec2c1449d4cf0c
NA18563	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239365/NA18563.final.cram.crai	1398539	d62a6f1fd12a1b11b1ae82ed72ba5d8e	98315905d59894a1ccda3befb485b4f659b2e55e458e3bc244283506731c3d66
NA18564	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239366/NA18564.final.cram.crai	1408147	a70caf9c85d24084011444b338f232b8	db35cbd29b5d94402df877461cdb449e2b8f95060c6c34d23dc1da6cf5d0b84b
