run_accession	submitted_ftp	submitted_md5	submitted_bytes
ERR188361	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188361/HG00189.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188361/HG00189.1.M_111124_5_2.fastq.gz	4a1a01f9ffaafda00e9b744037ecd892;b2042ff901d9ab597d1e3a4ef2675857	1701732142;1720766011
ERR188367	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188367/NA19102.1.M_111124_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188367/NA19102.1.M_111124_1_2.fastq.gz	b5930f72bed80ab9747277e8724570d8;39b63facf10553b0c11280d6b35cefa4	1674866097;1685536575
ERR188372	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188372/NA20807.5.M_120131_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188372/NA20807.5.M_120131_1_2.fastq.gz	8fae0842afd9f8a8e4d6c67bc6c50d81;6c3f163b99a6ce9f39d8233b4727aacf	2245350482;2289003799
ERR188376	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188376/NA07037.6.M_120119_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188376/NA07037.6.M_120119_4_2.fastq.gz	dfca2ec398d4129241be2c8652f1de64;e0087faa6f37b6466e78c5d7713918f4	1793789041;1818015711
ERR188378	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188378/HG00259.5.M_120131_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188378/HG00259.5.M_120131_3_2.fastq.gz	a9721ccd90a6e0323ac927e7345bb3dd;33b0e554e6d2f4b8602c6b498bb1614f	3531748365;3555882294
ERR188407	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188407/HG01790.3.M_120202_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188407/HG01790.3.M_120202_3_2.fastq.gz	215055912baff8e0858f19173cc68136;efee4f18f42847af49cf2fa7e80e13ed	983023465;1000169975
ERR188408	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188408/NA20810.2.M_111215_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188408/NA20810.2.M_111215_7_2.fastq.gz	8ecb207b5364177c1980cc306ceceb37;648711b7f340b894d7a542f407d16b06	2747776480;2789082684
ERR188410	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188410/NA12156.4.M_120208_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188410/NA12156.4.M_120208_7_2.fastq.gz	00e3bd222c3285d45ba750418e74d392;4deb64f096f5d59298af646687b0e034	2118218181;2114352916
ERR188421	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188421/NA19225.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188421/NA19225.1.M_120209_2_2.fastq.gz	070c8723bf20bca369f620eec3f59ff8;3eddf0afd918635133e37f7319796335	1580049490;1603562130
ERR188425	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188425/HG00187.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188425/HG00187.1.M_120209_2_2.fastq.gz	61fda91d1c314cc097367c4ed45b1833;c1bf882c865bf57bd64d9869fc895118	2498876407;2545960257
ERR188429	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188429/NA12889.3.M_120223_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188429/NA12889.3.M_120223_7_2.fastq.gz	908d81d5dc7c0ad836d765b2b5e255bd;4c54a76a1d6200a851d16f1f41d7ad5d	2982701145;3167126407
ERR188430	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188430/HG00132.2.M_111215_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188430/HG00132.2.M_111215_4_2.fastq.gz	d6be7681e1d7e2dd8893c288ad97c901;31e808e6795473c35585cccc591f7f20	2860189504;2875788217
ERR188434	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188434/NA19209.6.M_120217_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188434/NA19209.6.M_120217_1_2.fastq.gz	f166ebbe141b097bdcac7851b6c4cb40;e5e3cefb82cfeb453cd51a8988ec0389	1527324886;1502993171
ERR188436	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188436/NA20540.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188436/NA20540.1.M_111124_2_2.fastq.gz	54b3b5b3b7adf0d625cebf519bc56741;daf3bf23accd0f6481e29f8ceae904a0	1565226897;1580477636
ERR188441	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188441/NA12348.3.M_120202_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188441/NA12348.3.M_120202_6_2.fastq.gz	2c51b21267dc8513ad32e1bd70bb9e11;daaa4c49132e14222c730dbdcb89291e	1107696387;1096516510
ERR188446	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188446/NA12347.1.M_111124_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188446/NA12347.1.M_111124_7_2.fastq.gz	24195a47c70743309804c67a91255f70;09803feb3725ce60a748fca734f2114d	2142596403;2150085043
ERR188458	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188458/NA20516.5.M_120131_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188458/NA20516.5.M_120131_3_2.fastq.gz	3ea3e05e676d20e8a7bc74df40e9d441;e8d8b144845b34e500bb75c11e5e8ba2	1984178907;1988564270
ERR188464	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188464/HG00252.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188464/HG00252.1.M_111124_5_2.fastq.gz	38040dcc6cdc37f8ab16d51d90a24d71;6be9cac5960568942acac1e878272f84	1854303560;1863204343
ERR188465	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188465/HG00112.6.M_120119_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188465/HG00112.6.M_120119_2_2.fastq.gz	3365857266d5f31292b71e8253d41710;4292c55f1021f985b811d9841fbf6032	1718760422;1725474476
ERR188467	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188467/NA12286.2.M_111216_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188467/NA12286.2.M_111216_1_2.fastq.gz	0bd071b8676c18662a6c44dc68101789;81d746652da39c0b02b234309c2209fc	2517172590;2530597969
ERR188474	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188474/NA07051.5.M_120131_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188474/NA07051.5.M_120131_1_2.fastq.gz	b0359a7080f668f7c3d9c9805e9c1b39;06347df1a85bbcf4bb96986d3cbe4a6f	1992668902;2003265792
ERR188475	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188475/NA20815.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188475/NA20815.5.M_120131_5_2.fastq.gz	4176f45c1b8aac9d51a57b58d86588af;641ba5ad8e711f57a0747dd04364cfd7	2084900514;2094919256
ERR188480	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188480/HG00362.3.M_120202_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188480/HG00362.3.M_120202_2_2.fastq.gz	5afe2a908f00bac67d293a281f31c4ed;fc6e57989be06b3cd9470b2b7ecaa6e0	1968014793;1961752039
ERR204819	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204819/NA12760.1.M_120209_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204819/NA12760.1.M_120209_5_2.fastq.gz	6c9452f4eead7e05dae9dd144c896d76;18952e884954c9499b172793f1b42fb3	893632089;905634828
ERR204821	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204821/NA19159.1.M_120209_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204821/NA19159.1.M_120209_8_2.fastq.gz	4f217f4c02859daefa62c7e61286dfc4;15920337dea3c3c66b7874580023378b	960705142;982328031
ERR204827	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204827/HG00183.1.M_120209_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204827/HG00183.1.M_120209_4_2.fastq.gz	f9b16e5ef79d08b2746854fe5e6bf7ec;de17cf7b9f2ff5f061d56800d74b3da0	962615933;972183255
ERR204837	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204837/NA19138.1.M_120209_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204837/NA19138.1.M_120209_7_2.fastq.gz	ab0f2fc03d977ce59c091d20a0236adb;683d8aca30e0b18f3619eaab31eeb56b	824955994;845285766
